Vertices,Edges,Edge probability,2^boolwidth,est min,est avg,est max
60,597,0.662979,789,0.150000,1.434441,2.876812
60,591,0.635961,796,0.398413,1.287379,2.680556
60,214,0.246692,113644,2.333333,5.635476,10.416667
60,630,0.692160,515,0.158730,1.473252,3.683824
60,259,0.289466,60308,2.442857,4.321415,7.050000
60,447,0.487326,4152,0.882540,2.313600,4.138889
60,568,0.619932,1052,0.373611,1.880368,3.585965
60,501,0.557490,2197,0.466667,2.169797,4.752632
60,570,0.638470,995,0.419298,1.256688,2.552632
60,412,0.464104,6665,0.592857,2.562693,4.900000
60,648,0.712475,414,0.170455,1.551173,3.245455
60,262,0.295109,62551,1.274242,4.511221,7.238095
60,293,0.314779,37510,1.109524,3.995722,5.825000
60,636,0.659834,478,0.170455,1.194510,3.666667
60,433,0.482693,5121,0.333333,2.337635,4.666667
60,602,0.668235,689,0.208333,1.096887,2.155556
60,642,0.698541,440,0.150000,1.368388,2.716667
60,351,0.373089,15223,1.771368,3.566878,5.976190
60,542,0.612719,1265,0.419298,1.671822,2.845833
60,575,0.651105,936,0.150000,1.522351,3.293478
60,537,0.611968,1419,0.430556,1.846111,3.520833
60,702,0.793513,220,0.170455,1.130586,2.538462
60,206,0.227691,117524,3.144444,5.501786,7.767857
60,267,0.316120,47988,1.924242,4.957217,9.408333
60,671,0.765162,324,0.208333,1.163963,3.192857
60,216,0.239793,138139,3.450000,5.582436,7.958333
60,635,0.682131,475,0.240000,1.343759,2.243478
60,226,0.251138,95499,2.551190,5.150927,9.333333
60,381,0.456860,9760,0.808824,2.538788,4.042857
60,675,0.755363,300,0.158730,0.963109,2.212121
60,491,0.547372,2493,0.874242,2.109862,3.633333
60,354,0.363821,13414,1.932540,3.472471,5.650000
60,527,0.576797,1648,0.510965,1.700662,2.747619
60,645,0.712040,423,0.138889,1.454262,3.214286
60,638,0.689207,463,0.158730,1.284016,3.245455
60,640,0.733653,455,0.186335,1.255986,2.695489
60,568,0.646024,1050,0.445489,1.410425,2.695489
60,333,0.384807,20222,1.102778,3.287588,4.808824
60,615,0.698969,608,0.240000,1.248679,2.747619
60,481,0.544707,2875,0.368347,2.121945,3.944444
60,237,0.239943,66898,2.019444,4.956534,8.176190
60,550,0.642861,1235,0.373611,1.552252,3.698413
60,468,0.534009,3249,0.313034,1.952743,4.667832
60,274,0.273429,56850,1.128968,4.772513,7.944444
60,213,0.265940,106103,2.743590,4.957882,7.908333
60,512,0.552577,1932,0.526190,1.750952,3.750000
60,390,0.435071,8923,0.664286,2.800522,4.483333
60,580,0.615714,888,0.419298,1.439702,2.747619
60,546,0.613408,1350,0.398413,1.940292,4.462500
60,546,0.607406,1325,0.150000,1.764489,3.245455
60,203,0.218350,140627,3.259524,5.742842,9.144444
60,468,0.516203,3344,0.419935,2.297763,4.687500
60,431,0.458607,5074,1.343590,2.716543,6.201681
60,426,0.487802,4720,1.154762,2.569228,4.677778
60,432,0.489004,5276,0.937500,2.323230,4.433333
60,288,0.310243,37304,1.537302,3.841783,6.035354
60,701,0.790194,226,0.170455,1.127279,3.037037
60,636,0.711103,471,0.158730,1.232354,3.192857
60,715,0.790719,191,0.158730,0.918865,2.373333
60,539,0.605122,1353,0.170455,1.530416,3.868590
60,462,0.523410,3279,0.838889,2.132663,3.698413
60,579,0.656888,854,0.362338,1.500870,4.169935
60,702,0.792387,231,0.143541,1.006370,2.538462
60,461,0.512188,3446,0.412500,2.012396,3.362637
60,267,0.291814,68207,1.917857,3.917501,6.583333
60,233,0.247657,86081,2.319444,5.864548,8.111111
60,642,0.718295,412,0.150000,1.168756,4.295455
60,554,0.595128,1117,0.545455,1.728415,3.158824
60,589,0.645095,820,0.150000,1.518321,3.375000
60,219,0.227783,94960,3.933333,5.982132,9.509524
60,522,0.552188,1734,0.388889,1.722714,3.300000
60,390,0.422198,8972,0.714286,2.820113,5.408333
60,495,0.539893,2319,0.483333,2.127253,4.677778
